Date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA
2021-05-10,123.76119995117188,159.52450561523438,113.64820098876953,303.58758544921875,237.18394470214844,14.22988510131836,209.67999267578125
2021-05-11,122.8440933227539,161.19549560546875,112.57258605957031,304.14324951171875,236.27235412597656,14.270280838012695,205.73333740234375
2021-05-12,119.78054809570312,157.5970001220703,109.11070251464844,300.1942138671875,229.33474731445312,13.723909378051758,196.6300048828125
2021-05-13,121.9269790649414,158.07350158691406,110.53840637207031,302.8830871582031,233.20176696777344,13.63089370727539,190.56333923339844
2021-05-14,124.34657287597656,161.14500427246094,112.98517608642578,313.4800109863281,238.11473083496094,14.207193374633789,196.5800018310547
2021-05-17,123.19532012939453,163.51950073242188,113.50785827636719,313.0036926269531,235.26483154296875,14.129886627197266,192.27667236328125
2021-05-18,121.80989837646484,161.61399841308594,112.1961898803711,307.5465393066406,233.24974060058594,13.980512619018555,192.6233367919922
2021-05-19,121.65377807617188,161.58999633789062,112.64400482177734,311.1482238769531,233.82684326171875,14.030386924743652,187.82000732421875
2021-05-20,124.20999145507812,162.38400268554688,114.40196228027344,316.129150390625,237.0584259033203,14.575760841369629,195.5933380126953
2021-05-21,122.37577056884766,160.1540069580078,113.76622772216797,313.76776123046875,235.7984619140625,14.954059600830078,193.6266632080078
2021-05-24,124.00511169433594,162.24949645996094,117.08430480957031,322.10235595703125,241.19400024414062,15.572750091552734,202.14666748046875
2021-05-25,123.80998229980469,162.95249938964844,117.17505645751953,325.2377014160156,242.0980682373047,15.60841178894043,201.56333923339844
2021-05-26,123.76119995117188,163.25799560546875,118.0398941040039,325.1087341308594,241.8769073486328,15.660528182983398,206.3766632080078
2021-05-27,122.22943115234375,161.5054931640625,117.16561889648438,330.15911865234375,239.7801971435547,15.449061393737793,210.28334045410156
2021-05-28,121.57574462890625,161.15350341796875,116.87651824951172,326.17041015625,240.13604736328125,16.203657150268555,208.4066619873047
2021-06-01,121.25376892089844,160.9324951171875,118.08304595947266,326.5672912597656,237.9431915283203,16.223609924316406,207.96665954589844
2021-06-02,122.01476287841797,161.69949340820312,117.5578842163086,326.5871276855469,237.8470458984375,16.736066818237305,201.7066650390625
2021-06-03,120.53179168701172,159.35049438476562,116.41680908203125,323.5013427734375,236.31781005859375,16.92708396911621,190.94667053222656
2021-06-04,122.82456970214844,160.31100463867188,118.69746398925781,327.7778015136719,241.20364379882812,17.534053802490234,199.68333435058594
2021-06-07,122.83434295654297,159.90049743652344,119.13037872314453,333.959228515625,244.108154296875,17.574705123901367,201.7100067138672
2021-06-08,123.65386962890625,163.20550537109375,118.93897247314453,331.08184814453125,242.9156036376953,17.413114547729492,201.19667053222656
2021-06-09,124.03438568115234,164.0574951171875,119.41007995605469,327.6785583496094,243.8966064453125,17.31857681274414,199.5933380126953
2021-06-10,123.0392074584961,167.4824981689453,120.75843048095703,329.8713684082031,247.40707397460938,17.38517189025879,203.3733367919922
2021-06-11,124.24901580810547,167.3415069580078,120.51396179199219,328.6806945800781,248.0322723388672,17.784515380859375,203.29666137695312
2021-06-14,127.30281066894531,169.19349670410156,121.4417953491211,334.14776611328125,249.955810546875,17.977571487426758,205.89666748046875
2021-06-15,126.48322296142578,169.156494140625,120.4241943359375,334.1279296875,248.4842529296875,17.747844696044922,199.7866668701172
2021-06-16,126.98082733154297,170.7624969482422,119.7824935913086,328.5020751953125,247.541748046875,17.76954460144043,201.6233367919922
2021-06-17,128.58091735839844,174.46200561523438,120.74554443359375,333.88983154296875,250.9271697998047,18.614606857299805,205.53334045410156
2021-06-18,127.28331756591797,174.34500122070312,119.12642669677734,327.0931396484375,249.5133514404297,18.596153259277344,207.77000427246094
2021-06-21,129.07850646972656,172.697998046875,120.81398010253906,329.7026672363281,252.59103393554688,18.3851318359375,206.94332885742188
2021-06-22,130.7175750732422,175.27200317382812,121.32772827148438,336.39019775390625,255.36102294921875,18.843582153320312,207.90333557128906
2021-06-23,130.44439697265625,175.1909942626953,121.12589263916016,337.93804931640625,255.13006591796875,19.01369285583496,218.85667419433594
2021-06-24,130.16146850585938,172.45399475097656,121.49584197998047,340.5079040527344,256.495849609375,19.161605834960938,226.60667419433594
2021-06-25,129.86874389648438,170.072998046875,121.50425720214844,338.7119445800781,254.88966369628906,18.98750114440918,223.9566650390625
2021-06-28,131.498046875,172.1945037841797,121.53153991699219,352.87091064453125,258.44830322265625,19.9393253326416,229.57333374023438
2021-06-29,133.01034545898438,172.40699768066406,121.27021026611328,349.15008544921875,261.02581787109375,19.980974197387695,226.9199981689453
2021-06-30,133.62503051757812,172.00799560546875,121.08870697021484,345.0025939941406,260.5449523925781,19.956785202026367,226.56666564941406
2021-07-01,133.92750549316406,171.64849853515625,121.44080352783203,351.6306457519531,261.2181396484375,20.165803909301758,225.97332763671875
2021-07-02,136.55197143554688,175.5489959716797,124.23072814941406,351.93817138671875,267.0368957519531,20.44017219543457,226.3000030517578
2021-07-06,138.56182861328125,183.78700256347656,125.15560150146484,350.03314208984375,267.04656982421875,20.651195526123047,219.86000061035156
