,年化收益率,年化波动率,最大回撤,夏普比率
AAPL,0.21090218955079001,0.27490027388220445,-0.3336052059277937,0.6034995426082391
AMZN,0.17030221072406396,0.3541939422928541,-0.5614526325328262,0.3537672324741844
GOOGL,0.30171017673805056,0.3119603929759157,-0.4432005006509694,0.8228934907062686
META,0.23742680412063605,0.4390316958574338,-0.7673608668828518,0.43829820474538717
MSFT,0.14721017773462103,0.26388350653233666,-0.37148483354522716,0.38733067889597744
NVDA,0.6778946755071141,0.5165912590404962,-0.6633508711225615,1.225136245399578
TSLA,0.3159733172372717,0.5890099176323672,-0.7363221744219124,0.46004881942650194
